id,no_register,peminjam,email,kegiatan,no_hak,jenis_hak,desa,kecamatan,no_su,no_warkah,no_ht,status,catatan,tgl_pengajuan,tgl_update,created_by,created_at,updated_at,tipe,dikonfirmasi_oleh,tgl_konfirmasi,no_berkas_pnbp,tahun,jenis_peminjaman,file_pengamanan_url
613c1cc0-c449-41c9-8d3f-0c0f2c4491b4,REG-2026-41670,PRIORITAS — Dista,prioritas@gmail.com,Roya,10842,HM,Rawa Buaya,Cengkareng,,,3152/2017,Sedang Dipinjam,Dikonfirmasi & diambil oleh peminjam — Agus Ajat,2026-06-11 01:24:41.822221+00,2026-06-11 01:35:45.937+00,prioritas,2026-06-11 01:24:41.822221+00,2026-06-11 01:35:45.996975+00,register,Agus Ajat,2026-06-11 01:35:45.937+00,,,BT & HT,
a13a8c15-5da1-4e22-b231-6067898f15c9,REG-2026-41671,PRIORITAS — Dista,prioritas@gmail.com,Roya,10842,HM,Rawa Buaya,Cengkareng,,,1726/2018,Sedang Dipinjam,Dikonfirmasi & diambil oleh peminjam — Agus Ajat,2026-06-11 01:24:41.822221+00,2026-06-11 01:35:46.05+00,prioritas,2026-06-11 01:24:41.822221+00,2026-06-11 01:35:46.092082+00,register,Agus Ajat,2026-06-11 01:35:46.05+00,,,BT & HT,
0f5f2d59-acbb-4816-829b-445b8f4dc14b,REG-2026-33100,PRIORITAS — DANNY,prioritas@gmail.com,ROYA,18339,HM,Pegadungan,Kalideres,,,7087/2019,Sedang Dipinjam,Dikonfirmasi & diambil oleh peminjam — Agus Ajat,2026-06-11 02:38:53.360347+00,2026-06-11 02:50:50.119+00,prioritas,2026-06-11 02:38:53.360347+00,2026-06-11 02:50:50.144524+00,register,Agus Ajat,2026-06-11 02:50:50.119+00,,,BT & HT,
60f5edb7-0923-44bc-b5f2-d8181df4e2dd,REG-2026-40460,PRIORITAS — DANNY,prioritas@gmail.com,PENGHAPUSAN BPHTB,3519,HGB,Tanah Sereal,Tambora,,,,Sudah Dikembalikan,Dikonfirmasi & diambil oleh peminjam — Agus Ajat,2026-06-11 03:10:14.527054+00,2026-06-11 09:07:19.078+00,prioritas,2026-06-11 03:10:14.527054+00,2026-06-11 09:07:19.069907+00,register,Agus Ajat,2026-06-11 03:13:09.959+00,,,BT,
a6ea4dc0-c0b7-4b48-9bf2-0465a71e4913,REG-2026-39060,PRIORITAS — NOVI,prioritas@gmail.com,PERUBAHAN HAK,7739,HGB,Duri Kosambi,Cengkareng,,,,Sedang Dipinjam,Dikonfirmasi & diambil oleh peminjam — Agus Ajat,2026-06-11 03:16:31.583416+00,2026-06-11 03:20:31.288+00,prioritas,2026-06-11 03:16:31.583416+00,2026-06-11 03:20:31.335053+00,register,Agus Ajat,2026-06-11 03:20:31.288+00,,,BT,
abfa6476-dc9f-47fb-bd6c-89830b68240c,REG-2026-22640,PHP — ANGGA,januarahdiansyah@gmail.com,PENGHAPUSAN BPHTB,2440,HGB,Jatipulo,Palmerah,,,,Sedang Dipinjam,Dikonfirmasi & diambil oleh peminjam — Agus Ajat,2026-06-11 04:01:42.624642+00,2026-06-11 04:16:13.575+00,agusajat,2026-06-11 04:01:42.624642+00,2026-06-11 04:16:13.626513+00,register,Agus Ajat,2026-06-11 04:16:13.575+00,,,BT,
ccd50eec-e7f0-4984-aba8-a831a79026be,REG-2026-22641,PHP — ANGGA,januarahdiansyah@gmail.com,PENGHAPUSAN BPHTB,9014,HGB,Tegal Alur,Kalideres,,,,Sedang Dipinjam,Dikonfirmasi & diambil oleh peminjam — Agus Ajat,2026-06-11 04:01:42.624642+00,2026-06-11 04:16:13.667+00,agusajat,2026-06-11 04:01:42.624642+00,2026-06-11 04:16:13.706506+00,register,Agus Ajat,2026-06-11 04:16:13.667+00,,,BT,
a29a261b-1ea2-4a44-9b5d-04b8e6cc0971,REG-2026-22642,PHP — ANGGA,januarahdiansyah@gmail.com,PENGHAPUSAN BPHTB,9068,HGB,Tegal Alur,Kalideres,,,,Sedang Dipinjam,Dikonfirmasi & diambil oleh peminjam — Agus Ajat,2026-06-11 04:01:42.624642+00,2026-06-11 04:16:13.728+00,agusajat,2026-06-11 04:01:42.624642+00,2026-06-11 04:16:13.765991+00,register,Agus Ajat,2026-06-11 04:16:13.728+00,,,BT,
34cce3f2-afc5-40da-9d46-64ad4fa1d042,REG-2026-87630,PHP — JUMHAN,januarahdiansyah@gmail.com,ROYA,16217,HM,Pegadungan,Kalideres,,,5320/2016,Sedang Dipinjam,Dikonfirmasi & diambil oleh peminjam — Agus Ajat,2026-06-11 04:05:39.10727+00,2026-06-11 08:04:21.988+00,agusajat,2026-06-11 04:05:39.10727+00,2026-06-11 08:04:22.018364+00,register,Agus Ajat,2026-06-11 08:04:21.988+00,,,BT & HT,
739ada1a-0f9e-4667-ab40-d9643c96b2f7,REG-2026-87631,PHP — JUMHAN,januarahdiansyah@gmail.com,ROYA,3352,HM,Kedaung Kali Angke,Cengkareng,,,3071/2016,Sedang Dipinjam,Dikonfirmasi & diambil oleh peminjam — Agus Ajat,2026-06-11 04:05:39.10727+00,2026-06-11 08:04:22.047+00,agusajat,2026-06-11 04:05:39.10727+00,2026-06-11 08:04:22.076683+00,register,Agus Ajat,2026-06-11 08:04:22.047+00,,,BT & HT,
9e30c1d9-12fd-471a-9b48-b37df2ff5196,REG-2026-88650,PRIORITAS — NOVI,prioritas@gmail.com,SERTIFIKAT LAMA,7920,HM,Cengkareng Timur,Cengkareng,,,,Sedang Dipinjam,Dikonfirmasi & diambil oleh peminjam — Agus Ajat,2026-06-11 04:24:06.535058+00,2026-06-11 04:34:37.53+00,prioritas,2026-06-11 04:24:06.535058+00,2026-06-11 04:34:37.547298+00,register,Agus Ajat,2026-06-11 04:34:37.53+00,,,BT,
68971494-8c8e-4da4-95a2-12b734d99568,REG-2026-07210,PRIORITAS — NOVI,prioritas@gmail.com,PENGHAPUSAN BPHTB,5627,HGB,Kapuk,Cengkareng,,,,Sudah Dikembalikan,Dikonfirmasi & diambil oleh peminjam — Agus Ajat,2026-06-11 06:14:30.802673+00,2026-06-11 09:07:15.466+00,prioritas,2026-06-11 06:14:30.802673+00,2026-06-11 09:07:15.460121+00,register,Agus Ajat,2026-06-11 06:22:42.868+00,,,BT,
289d466f-9a76-4977-af57-a27bc5008afe,REG-2026-90470,PRIORITAS — Dista,prioritas@gmail.com,SERTIFIKAT LAMA,11215,HM,Cengkareng Barat,Cengkareng,,,,Sedang Dipinjam,Dikonfirmasi & diambil oleh peminjam — Agus Ajat,2026-06-11 06:17:49.134742+00,2026-06-11 06:24:14.053+00,prioritas,2026-06-11 06:17:49.134742+00,2026-06-11 06:24:14.090481+00,register,Agus Ajat,2026-06-11 06:24:14.053+00,,,BT,
d772ba1b-2bcf-45d1-9b27-b1f1cb5d3ca0,REG-2026-39020,PHP — pak joko widodo,januarahdiansyah@gmail.com,cek warkah,-,-,Rawa Buaya,Cengkareng,,15923/2026,,Sedang Dipinjam,Dikonfirmasi & diambil oleh peminjam — Agus Ajat,2026-06-11 06:39:14.455954+00,2026-06-11 10:44:30.252+00,agusajat,2026-06-11 06:39:14.455954+00,2026-06-11 10:44:30.273756+00,register,Agus Ajat,2026-06-11 10:44:30.252+00,,,Warkah,
a0c92b60-6217-40c4-bb05-87ff90435acf,REG-2026-96010,PRIORITAS — NOVI,prioritas@gmail.com,PERALIHAN HAK JUAL BELI,9223,HM,Pegadungan,Kalideres,,,,Sedang Dipinjam,Dikonfirmasi & diambil oleh peminjam — Agus Ajat,2026-06-11 07:00:30.058481+00,2026-06-11 07:04:52.796+00,prioritas,2026-06-11 07:00:30.058481+00,2026-06-11 07:04:52.834847+00,register,Agus Ajat,2026-06-11 07:04:52.796+00,,,BT,
a85a7401-a7c3-42ae-99a6-5f208fc57e6c,REG-2026-04230,PHP — ANGGA,januarahdiansyah@gmail.com,PENGHAPUSAN BPHTB,9247,HGB,Tegal Alur,Kalideres,,,,Sudah Dikembalikan,Dikonfirmasi & diambil oleh peminjam — Agus Ajat,2026-06-11 07:09:01.007793+00,2026-06-17 07:19:37.39+00,agusajat,2026-06-11 07:09:01.007793+00,2026-06-17 07:19:37.458339+00,register,Agus Ajat,2026-06-11 07:09:27.435+00,,,BT,
2206e841-2591-44cf-9ef8-2a1c420700a2,REG-2026-26710,PHP — SARAYA,januarahdiansyah@gmail.com,SKPT,3486,HM,Rawa Buaya,Cengkareng,,,,Sudah Dikembalikan,Dikonfirmasi & diambil oleh peminjam — Agus Ajat,2026-06-11 07:14:13.301085+00,2026-06-17 06:46:22.599+00,agusajat,2026-06-11 07:14:13.301085+00,2026-06-17 06:46:22.5995+00,register,Agus Ajat,2026-06-11 07:15:29.007+00,,,BT,
0afeb9eb-c783-445b-abb5-d57e50fa194b,REG-2026-26711,PHP — SARAYA,januarahdiansyah@gmail.com,SKPT,12619,HM,Cengkareng Barat,Cengkareng,,,,Sedang Dipinjam,Dikonfirmasi & diambil oleh peminjam — Agus Ajat,2026-06-11 07:14:13.301085+00,2026-06-11 07:15:29.074+00,agusajat,2026-06-11 07:14:13.301085+00,2026-06-11 07:15:29.117076+00,register,Agus Ajat,2026-06-11 07:15:29.074+00,,,BT,
8e9d90cd-7fed-49e0-807a-81bd672b3e9e,REG-2026-26712,PHP — SARAYA,januarahdiansyah@gmail.com,SKPT,14633,HM,Cengkareng Barat,Cengkareng,,,,Sedang Dipinjam,Dikonfirmasi & diambil oleh peminjam — Agus Ajat,2026-06-11 07:14:13.301085+00,2026-06-11 07:15:29.15+00,agusajat,2026-06-11 07:14:13.301085+00,2026-06-11 07:15:29.189112+00,register,Agus Ajat,2026-06-11 07:15:29.15+00,,,BT,
5883dd8d-e08f-40a0-b3c9-df6b0e5d7bf0,REG-2026-26713,PHP — SARAYA,januarahdiansyah@gmail.com,SKPT,2148,HGB,Pekojan,Tambora,,,,Sedang Dipinjam,Dikonfirmasi & diambil oleh peminjam — Agus Ajat,2026-06-11 07:14:13.301085+00,2026-06-11 07:15:29.219+00,agusajat,2026-06-11 07:14:13.301085+00,2026-06-11 07:15:29.259268+00,register,Agus Ajat,2026-06-11 07:15:29.219+00,,,BT,
23061fbf-878b-4079-8250-3623b7e31250,REG-2026-26714,PHP — SARAYA,januarahdiansyah@gmail.com,SKPT,2163,HM,Pekojan,Tambora,,,,Sedang Dipinjam,Dikonfirmasi & diambil oleh peminjam — Agus Ajat,2026-06-11 07:14:13.301085+00,2026-06-11 07:15:29.292+00,agusajat,2026-06-11 07:14:13.301085+00,2026-06-11 07:15:29.329023+00,register,Agus Ajat,2026-06-11 07:15:29.292+00,,,BT,
